
[2022-10-31T12:43:07.511] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T12:43:18.323] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T12:43:25.775] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T12:43:29.197] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T12:43:34.170] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T12:43:36.402] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T12:43:38.599] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T12:43:40.391] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T12:43:41.153] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T12:43:43.129] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T12:44:00.880] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T12:44:02.230] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T12:44:04.676] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T12:44:06.411] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T12:44:07.244] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T12:44:08.256] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T13:24:41.543] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T13:24:43.479] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T13:24:44.443] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T13:24:47.068] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T13:53:27.211] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T14:01:01.749] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T14:01:03.076] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T14:01:04.715] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T14:01:06.346] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T14:01:08.432] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T14:01:09.885] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T14:01:12.502] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T14:01:20.506] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T15:25:41.258] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T15:25:56.654] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T16:16:51.187] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T16:16:52.379] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T16:16:53.911] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T16:16:55.756] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T16:23:53.174] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T16:23:53.642] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T16:23:55.441] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T16:23:57.516] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T16:23:59.095] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T16:24:01.063] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T16:58:58.554] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T17:15:24.132] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T17:15:25.250] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T17:15:26.837] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T17:15:28.486] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T17:15:54.582] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T17:15:55.406] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T17:15:57.435] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T17:15:58.699] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T17:25:59.962] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T17:39:20.780] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T17:45:38.579] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T17:45:40.229] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T17:46:58.723] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T17:47:00.378] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-11-01T08:27:44.514] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-11-01T08:27:45.839] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-11-01T08:27:48.744] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-11-01T08:27:51.834] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-11-01T08:27:55.383] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-11-01T08:27:56.490] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-11-01T08:27:59.951] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-11-01T08:28:01.587] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-11-01T08:28:04.324] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-11-01T08:28:08.241] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-11-01T08:28:10.058] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-11-01T08:28:12.181] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-11-01T08:28:13.140] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-11-01T08:28:14.155] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
